trackid,trackname,artist,artistid,genres,main_genre,danceability,energy,loudness,speechness,acousticness,instrumentalness,liveness,valence,tempo
1orVKbp6vqtfAPOmvRofVq,rock'n me,steve miller band,6QtGlUje9TIkLrgPZrESuk, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold psychedelicrock rock rootsrock softrock ,rock,0.695,0.582,-11.35,0.0651,0.297,0.0,0.123,0.892,122.433
0IkKz2J93C94Ei4BvDop7P,party rock anthem,lmfao,3sgFRtyBnxXD5ESfmbK4dl, dancepop edm pop popdance poprap ,rock,0.75,0.727,-4.21,0.142,0.0189,0.0,0.266,0.359,129.993
5knuzwU65gJK7IF5yJsuaW,rockabye (feat. sean paul & anne-marie),clean bandit,6MDME20pz9RveH9rEXvrOM, dancepop edm pop popdance post-teenpop tropicalhouse ukdance ukfunky ,rock,0.72,0.763,-4.068,0.0523,0.406,0.0,0.18,0.742,101.965
2xbI8Vmyv3TkpTdywpPyNw,selfish,pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.638,0.6,-5.84,0.0438,0.114,0.0,0.187,0.0399,101.981
36YCdzT57us0LhDmCYtrNE,rockin’,the weeknd,1Xyo4u8uXC1ZmMpatF05PJ, canadiancontemporaryr&b canadianpop pop ,rock,0.738,0.885,-5.547,0.206,0.0133,0.0,0.0821,0.752,112.878
4FlYcJnfkeBpowEHJ72Bmt,rockin' robin,bobby day,4SLfKHcufUqU46DiTAHIsj, doo-wop rhythmandblues rock-and-roll rockabilly ,rock,0.541,0.608,-13.083,0.106,0.298,0.0,0.234,0.938,171.992
1qPJqsojWPApzEuSVoFawJ,rose gold (feat. king von),pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.574,0.623,-5.096,0.191,0.184,0.0,0.103,0.529,79.993
6pWzCKTrKrwbUPzY8RLCoP,rock wit u (awww baby),ashanti,5rkVyNGXEgeUqKkB5ccK83, dancepop hiphop hippop pop r&b urbancontemporary ,rock,0.71,0.797,-3.006,0.0582,0.408,0.0,0.16,0.849,94.998
4Aykm3xrOFSHrAnv80KUhh,rockstar (feat. roddy ricch) - blm remix,dababy,4r63FhuTkUYltbVAg5TQnk, northcarolinahiphop rap ,rock,0.747,0.689,-7.246,0.242,0.197,0.0,0.0884,0.75,89.901
6Vdyu21iT8qScU1haSjWUU,"leave em alone (layton greene, lil baby feat. city girls, pnb rock)",quality control,6i392l38cR3uBPF0DbNs7S, hiphop melodicrap poprap rap southernhiphop trap ,rock,0.76,0.755,-4.735,0.19,0.0163,2.95e-06,0.0909,0.517,101.993
20dkebBtPR4AJ8vVos41Gw,rock salt and nails (live),tyler childers,13ZEDW6vyBF12HYcZRr4EV, kentuckyindie kentuckyroots outlawcountry ,rock,0.449,0.296,-12.608,0.0361,0.892,0.000755,0.892,0.139,139.828
2XHjFJVXYlEzoDvN82h8s5,rocky mountain way,joe walsh,5bDxAyJiTYBat1YnFJhvEK, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock southernrock symphonicrock ,rock,0.493,0.376,-15.045,0.0435,0.0241,0.792,0.102,0.419,86.47
2AmEv442DGwSxMGZ9XEvBA,rock of ages,def leppard,6H1RjVyNruCmrBEWRbD0VZ, albumrock hardrock nwobhm rock ,rock,0.706,0.785,-7.666,0.041,0.00802,0.0319,0.195,0.636,105.893
2Adn2LNgkHMH5TelQVAu4n,pretty girl rock,keri hilson,63wjoROpeh5f11Qm93UiJ1, dancepop hippop pop popr&b post-teenpop r&b urbancontemporary ,rock,0.666,0.87,-5.004,0.246,0.203,0.0,0.0851,0.9,160.014
3RBGG1be9aBaSvjnw6ABkh,rockin' that shit,the-dream,1W3FSF1BLpY3hlVIgvenLz, dancepop gangsterrap hiphop hippop popr&b r&b southernhiphop trap urbancontemporary ,rock,0.672,0.62,-4.865,0.0422,0.123,0.0,0.362,0.627,78.005
4GF00uRxC4ECrxNEbnapqf,rock me,one direction,4AK6F7OLvEQ5QYCBNiQWHq, boyband pop post-teenpop talentshow ,rock,0.506,0.909,-3.629,0.0528,0.0261,0.0,0.155,0.814,168.021
1gewemPOUilb21s7CfMS55,bartender song (sittin' at a bar) - alt/rock mix,rehab,1qh1aHXy7LRcb7eyriuJTS, raprock redneck ,rock,0.667,0.673,-6.006,0.0536,0.117,0.0,0.343,0.706,151.834
4PRGxHpCpF2yoOHYKQIEwD,rock and roll - remaster,led zeppelin,36QJpDe2go2KgaRleHCDTp, albumrock classicrock hardrock rock ,rock,0.317,0.887,-7.292,0.0375,0.000582,0.00258,0.0891,0.871,169.613
7xVLFuuYdAvcTfcP3IG3dS,"work remix (feat. a$ap rocky, french montana, trinidad james & schoolboy q)",a$ap ferg,5dHt1vcEm9qb8fCyLcB3HL, hiphop poprap rap southernhiphop trap undergroundhiphop ,rock,0.841,0.733,-5.077,0.142,0.0246,0.0,0.174,0.284,130.009
7k2t5SM7IsgEtKtRK8V2sm,rockstar sea shanty,nickelback,6deZN1bslXzeGvOLaLMOIF, alternativemetal canadianrock numetal post-grunge ,rock,0.69,0.695,-8.633,0.0544,0.353,0.0,0.323,0.771,89.997
6WCeFNVAXUtNczb7lqLiZU,crocodile rock,elton john,3PhoLpVuITZKcymswpck5b, classicrock glamrock mellowgold pianorock softrock ,rock,0.621,0.8,-7.284,0.0344,0.0263,1.51e-05,0.0591,0.968,149.91
2MvxhedNhxhj32eVQJnmII,rockstar shit,blind.see,6SSQog9cu2XcgHTRHPmECq, viralrap ,rock,0.916,0.445,-7.143,0.571,0.0179,1.84e-06,0.381,0.0519,140.124
5de7ci7TFqbQ1PFgKAD7MR,"horses (with pnb rock, kodak black & a boogie wit da hoodie)",pnb rock,21WS9wngs9AqFckK7yYJPM, melodicrap poprap rap trap ,rock,0.703,0.661,-3.885,0.0539,0.0517,0.0,0.34,0.495,149.906
4feXJ5IC3avXsVW9WNFSag,rock n roll train,ac/dc,711MCceyCBcFnzjGY4Q7Un, albumrock australianrock hardrock rock ,rock,0.547,0.931,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4
1jzIJcHCXneHw7ojC6LXiF,potato salad,"tyler, the creator",4V8LLVI7PbaPR0K2TGSxFF, hiphop rap ,rock,0.538,0.612,-6.02,0.424,0.308,0.0,0.213,0.684,168.197
3ncgNpxLoBQ65ABk4djDyd,pick it up (feat. a$ap rocky),famous dex,0WOxhx4hikIsyF3CRPLC8W, chicagorap drill hiphop poprap rap southernhiphop trap undergroundhiphop vaportrap viralrap ,rock,0.921,0.467,-8.443,0.119,0.0149,0.000238,0.334,0.287,135.995
5rX6C5QVvvZB7XckETNych,all summer long,kid rock,7dOBabd5O4CvKrg4iriHTM, alternativemetal numetal rock ,rock,0.7,0.864,-3.629,0.0283,0.0212,0.0,0.0956,0.887,102.997
1kx5enYLhaSdwAArnuSchV,classical chillin',nixon wilk,0EEiWLCGnN5dYiW261rCc3, ,classical,0.497,0.271,-16.508,0.0334,0.0271,0.927,0.102,0.24,124.965
3DNRdudZ2SstnDCVKFdXxG,"sonata no. 14 ""moonlight"" in c-sharp minor"", op. 27 no. 2: i. adagio sostenuto",ludwig van beethoven,2wOqMjp9TyABvtHdOSOTUS, classical classicalera earlyromanticera germanromanticism ,classical,0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612
2JxS3A9SqhMz1N48u08mEu,classical piano music for baby sleep,baby lullaby academy,5E9Xn7QuCD3VYCuBqLxBdY, lullaby ,classical,0.475,0.00753,-42.23,0.0293,0.94,1.33e-06,0.0979,0.192,74.998
6P26loReaUMCjgBeS6wB3C,berlin song,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.579,0.0573,-25.112,0.0691,0.996,0.907,0.0954,0.0389,70.002
4DK3JpX2NkEMhCnltUEvUg,classical gas,mason williams,1XgVoPT2Va5L64LFzskVBW, ,classical,0.486,0.701,-10.53,0.0348,0.852,0.746,0.108,0.74,155.269
7eR33hcJZ7gB0tJLLXNjzx,una mattina,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.363,0.0345,-25.048,0.0691,0.994,0.921,0.0827,0.0364,120.953
0G7sG61Xp7vTTQHr7sBqOj,classical piano for sleeping music,baby lullaby academy,5E9Xn7QuCD3VYCuBqLxBdY, lullaby ,classical,0.511,0.00385,-38.313,0.0372,0.95,0.759,0.0629,0.0609,65.008
5aLKDJOyx8gI49nDXQ8dhs,ombre,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.35,0.0229,-25.577,0.0502,0.991,0.899,0.115,0.0655,102.556
0F9T4bKRg5wpBU5loTBqP3,classical overtake,blake orzechowski,53IQjBqWt2FZX0EdMu1U2C, ,classical,0.613,0.275,-21.121,0.0492,0.676,0.96,0.113,0.179,100.011
0NbWXczhbCSbjBNRIErVqM,divenire,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.269,0.0926,-24.28,0.0609,0.966,0.89,0.0992,0.102,120.323
6VikkvVbmoCkufv4bLrdkZ,classical soul - edit,oscar lopez,3ELktghnE5zeabnHdNycyh, rumba ,classical,0.43,0.373,-12.862,0.0634,0.918,0.902,0.112,0.666,90.367
7md3SNWPnMGawLvfkQHTwd,nuvole bianche,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.297,0.0287,-30.008,0.0564,0.995,0.908,0.0995,0.0678,141.636
4Ku0h841OVMhD5Su0I4Pvw,classical interlude,baby lullaby,2JcB0D3GGG5BhIJDkdtXi7, lullaby ,classical,0.495,0.152,-16.633,0.0794,0.87,0.000481,0.796,0.198,47.523
0BQInAVTpnRFD9hyO6nt1n,i giorni,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.358,0.121,-25.111,0.0532,0.976,0.889,0.135,0.106,131.808
5ZiHRtoOT6UyVJL5UABoGn,night,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.316,0.0573,-24.121,0.0515,0.988,0.879,0.12,0.0373,81.07
0g8zASF1mldclJswQ0IQYJ,classical baby,lullaby time,5AUPJRWkYNsxRWihENePtH, ,classical,0.702,0.00751,-17.674,0.0456,0.993,0.911,0.113,0.576,69.958
4fVzhkjeUDvNuhuc8fgIWT,una mattina,ludovico einaudi,2uFUBdaVGtyMqckSeCl0Qj, bowpop compositionalambient neo-classical ,classical,0.343,0.0165,-30.915,0.0455,0.995,0.878,0.0774,0.151,126.97
0RyaUv49RciHTNKXve9Zqe,classical piano (baby music),baby lullaby academy,5E9Xn7QuCD3VYCuBqLxBdY, lullaby ,classical,0.425,0.0062,-33.138,0.0365,0.995,0.722,0.122,0.165,70.027
1J95TxLZWV1H3nmjEK1ja6,"keyboard concerto in f minor, bwv. 1056: ii. largo",johann sebastian bach,5aIqB5nVVvmFsvSdExz408, baroque classical earlymusic germanbaroque ,classical,0.42,0.0111,-33.407,0.0424,0.977,0.943,0.14,0.103,113.491
0RJ772DmUc5axmzP6gzGdG,classical music for study,arthur byron,3sf89JYi09tHKw7qPU4WiW, pianissimo ,classical,0.316,0.0445,-24.284,0.0679,0.945,0.908,0.109,0.0393,67.183
5mFVDzs6tS3qPcgIz52Vit,"concerto for two violins in d minor, bwv 1043: ii. largo, ma non tanto",johann sebastian bach,5aIqB5nVVvmFsvSdExz408, baroque classical earlymusic germanbaroque ,classical,0.12,0.0949,-24.2,0.0429,0.856,0.0978,0.18,0.203,77.355
6XzyCjS2Z2zgGIAk1p5nKB,classical - intro,gucci mane,13y7CgLHjMVRMDqxdx0Xdo, atlhiphop dirtysouthrap gangsterrap hiphop poprap rap southernhiphop trap ,classical,0.724,0.637,-6.32,0.0408,0.55,0.0,0.523,0.143,128.059
36yPU0NzKvewTkaqL5IQbM,"violin concerto in a minor, bwv 1041: i. allegro",johann sebastian bach,5aIqB5nVVvmFsvSdExz408, baroque classical earlymusic germanbaroque ,classical,0.356,0.287,-15.475,0.0632,0.915,0.0656,0.0826,0.741,169.002
3DlWA0p8alKVel8l4ZMJPw,classical intertwined eligious,акимнна барановуев,6PuiukHHBV97MwjUXScWbU, ,classical,0.174,0.37,-15.349,0.0361,0.073,0.982,0.147,0.246,73.155
2tTvDWI2Z4ptGS4niMshS1,"fantasia and fugue in g minor, bwv 542 ""great"": i. fantaisia",johann sebastian bach,5aIqB5nVVvmFsvSdExz408, baroque classical earlymusic germanbaroque ,classical,0.0688,0.239,-10.544,0.0382,0.34,0.163,0.296,0.0386,77.489
4SVrXZckXz6EbNPxvqW4CI,classical piano,baby lullaby,7vgJnbva49FV9p5EkNlKq7, lullaby ,classical,0.452,0.0228,-23.43,0.0452,0.989,0.926,0.0844,0.0515,106.886
2WeNPvXy09ZSlYs3LTluLE,"goldberg variations, bwv 988: aria",johann sebastian bach,5aIqB5nVVvmFsvSdExz408, baroque classical earlymusic germanbaroque ,classical,0.341,0.0185,-30.565,0.0426,0.995,0.936,0.104,0.182,103.013
2MaDdqa1dgLOvPSbV43xkK,classical wings,the khepresh,4U47CTrKgPi33Ir773Uwbm, ,classical,0.197,0.12,-20.292,0.0357,0.959,0.929,0.131,0.1,96.355
35LweuCbS2JQCvJitWfMi5,"piano concerto no. 21 in c major, k. 467 ""elvira madigan"": ii. andante (excerpt)",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.297,0.0393,-26.827,0.034,0.989,0.941,0.11,0.0982,63.881
6H3RLcrJVmE3sm5JtibrPg,classical trance,toddler songs kids,76lfjOzsF7ZKDKj3YqzwfM, children'smusic ,classical,0.249,0.375,-16.95,0.0656,0.641,0.00471,0.839,0.04,46.972
52Pohl61KGwLaLGwrgF4LC,"symphony no. 26 in e-flat major, k. 184/161a: ii. andante",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.117,0.016,-31.246,0.0409,0.985,0.913,0.119,0.0365,80.696
3jCsuagEqRlm36l23NntXW,classical wish,toddler songs kids,76lfjOzsF7ZKDKj3YqzwfM, children'smusic ,classical,0.273,0.529,-15.99,0.112,0.621,6.09e-05,0.369,0.0372,139.712
5SJU16fFX1os9k7qCITYiS,"clarinet concerto in a major, k. 622: ii. adagio",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.0939,0.0242,-25.646,0.0435,0.98,0.769,0.0623,0.0394,87.145
0G30LjBB3GTor7AJJgKIJy,classical things,julie moses,0615JDteBqjEp41jNkOSc1, ,classical,0.6,0.0329,-27.427,0.0535,0.994,0.941,0.0719,0.223,104.992
4qhmxrYVVQB62zXsDbmxG5,"serenade no. 10 in b-flat major, k. 361 ""gran partita"": iii. adagio",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.0717,0.0761,-22.102,0.0444,0.99,0.917,0.125,0.037,68.233
1m1kkWYyDOcyF44Mj30e4O,classical lullaby,eugene lopin,5fnKsV4JHpqMoKyhKjQmj6, calminginstrumental lullaby ,classical,0.585,0.0174,-27.69,0.0333,0.983,0.904,0.105,0.366,99.994
17T8Vud0EXcJq7ASlior5Q,"clarinet quintet in a major, k. 581: ii. larghetto",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.0719,0.0238,-25.292,0.0446,0.986,0.922,0.0771,0.0869,74.705
1OxH0q0cX03jqmaWmDkrvB,classical piano vs lofi hip hop beat,chillhop beats,5BQMZfKjZ9VUAy25OjA629, ,classical,0.762,0.403,-11.135,0.0421,0.739,0.822,0.139,0.601,83.37
0edGl87jptn0Iw9azKM9yd,"così fan tutte, k. 588, act ii: il core vi dono (guglielmo, dorabella)",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.279,0.0545,-23.66,0.0419,0.987,0.00369,0.165,0.129,94.197
7tiZ2UCMpKhedz6rZBQNgk,classical lullaby jazz (with rain),piano peace,7qKxhFTGcJ7w7JEFGqqWwK, pianocover ,classical,0.533,0.303,-19.218,0.0966,0.986,0.893,0.344,0.49,104.853
48urzMkYXdnnLJXkZaxg6e,"symphony no. 31 in d major, k. 297/300a ""paris"": i. allegro assai",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.416,0.109,-20.159,0.0404,0.96,0.911,0.0431,0.288,79.274
1V1zIvPRHo89h4WzYfYe8A,classical baby music,baby lullaby,7vgJnbva49FV9p5EkNlKq7, lullaby ,classical,0.591,0.126,-11.841,0.0465,0.982,0.929,0.0973,0.09,80.15
7b4UIN1Dmn0ykvmQbnGQ1p,"fantasia in f minor, k. 608",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.104,0.123,-18.245,0.0355,0.862,0.913,0.182,0.131,176.012
3mTnUQBRxH6XMGAjG1CKrq,classical servant of evil,myreminiscence,7aebkMcm9N9Vg8VSXsIvsQ, otacore ,classical,0.281,0.31,-17.921,0.0374,0.923,0.842,0.0697,0.209,98.855
7rgYKf60Vw021fkxqHJmEV,"requiem in d minor, k. 626: iii. sequenz no. 1, dies irae",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.4,0.281,-17.126,0.03,0.983,0.141,0.244,0.339,74.415
67sbHvfYPVMiagkQbom85g,classical cockatoo,bradley joseph,4HyURxoVAZxaACHYQQxQYx, calminginstrumental christianrelaxative classify neoclassicaldarkwave newagepiano ,classical,0.585,0.0942,-20.029,0.0361,0.989,0.899,0.131,0.0719,114.943
4dorwRU51TRwfvwC2SGGE9,"die zauberflöte, k. 620, act ii: der hölle rache",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.529,0.223,-14.914,0.0688,0.962,4.92e-05,0.0628,0.118,74.209
3l3lCbzWLXi9FS4tQ3HSzZ,classical thump,victor wooten,2STVYmc2T02GlvvWZl7umj, electricbass instrumentalfunk jazzfunk jazzfusion modernfunk ,classical,0.462,0.735,-12.592,0.0531,0.391,0.814,0.121,0.552,131.113
4BeyANW7KNgTKum6pKwTNS,"don giovanni, k. 527: overture",wolfgang amadeus mozart,4NJhFmfw43RLBLjQvxDuRS, classical classicalera ,classical,0.351,0.111,-18.211,0.0368,0.961,0.862,0.0849,0.173,126.103
6OKSnpoImX8CzhrzADerZg,classical teacher,tenacious d,1XpDYCrUJnvCo9Ez6yeMWh, alternativemetal comedyrock comic comicmetal parody rock ,classical,0.627,0.316,-11.375,0.959,0.687,0.0,0.645,0.555,82.335
2XU0oxnq2qxCpomAAuJY8K,dance monkey,tones and i,2NjfBq1NflQcKSeiDooVjY, australianpop pop ,dance,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027
0a7BloCiNzLDD9qSQHh5m7,"dance, dance",fall out boy,4UXqAaa6dQYAk18Lv7PEgX, emo modernrock poppunk ,dance,0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.452
2TVxnKdb3tqe1nhQWwwZCO,tiny dancer,elton john,3PhoLpVuITZKcymswpck5b, classicrock glamrock mellowgold pianorock softrock ,dance,0.414,0.428,-11.097,0.0278,0.382,0.000243,0.148,0.282,145.075
6xJwKTMwyJO6ynbDa5g1QT,dance again,selena gomez,0C8ZW7ezQVs4URX5aX7Kqx, dancepop pop popdance post-teenpop ,dance,0.784,0.552,-7.261,0.0874,0.0447,0.0,0.196,0.464,111.984
6vECYJHxYmm3Ydt3fF01pE,stolen dance,milky chance,1hzfo8twXdOegF3xireCYs, germanpop ,dance,0.885,0.581,-8.813,0.0378,0.427,0.000204,0.0759,0.728,114.016
6wXgnhpmOPEJ7cUweSyy2B,dance with me (feat. thomas rhett & young thug),diplo,5fMUXHkw8R8eOP2RNVYEZX, bmore edm moombahton ninja pop popdance tropicalhouse ,dance,0.73,0.792,-5.33,0.13,0.0264,0.0,0.101,0.745,99.039
2tUBqZG2AbRi7Q0BIrVrEj,i wanna dance with somebody (who loves me),whitney houston,6XpaIBNiVzIetEPCWDvAFP, dancepop pop urbancontemporary ,dance,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818
5EV4bGHxVN0kHpcAFvgnTt,"dance, baby!",boy pablo,7wbkl3zgDZEoZer357mVIw, bedroompop bergenindie indiepop norwegianindie ,dance,0.602,0.601,-8.521,0.0411,0.037,0.0046,0.312,0.856,122.017
4kbj5MwxO1bq9wjT5g9HaA,shut up and dance,walk the moon,6DIS6PRrLS3wbnZsf7vYic, dancepop indiepop indiepoptimism modernalternativerock modernrock poprock rock ,dance,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038
3ZAMtgYJFoHwJjFkhkXqKr,dance (a$$) remix,big sean,0c173mlxpT3dSFRgMO8XPh, detroithiphop hiphop poprap rap southernhiphop trap ,dance,0.787,0.73,-6.788,0.35,0.0276,0.00157,0.0828,0.739,159.825
2NjO87HyT80fsgejd3PLYW,dance to this (feat. ariana grande),troye sivan,3WGpXCj9YhhfX11TToZcXP, australianpop dancepop electropop pop popdance post-teenpop viralpop ,dance,0.736,0.756,-7.099,0.047,0.00632,0.00577,0.106,0.712,117.016
1zi7xx7UVEFkmKfv06H8x0,one dance,drake,3TVXtAsR1Inumwj472S9r4, canadianhiphop canadianpop hiphop poprap rap torontorap ,dance,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967
6e8SyjN8eOrlmLMpMNGvoQ,dance with me,shiloh dynasty,1wxPItEzr7U7rGSMPqZ25r, lo-fichill sadrap ,dance,0.634,0.293,-15.248,0.0774,0.841,0.0213,0.11,0.349,115.186
2x7MyWybabEz6Y6wvHuwGE,just dance,lady gaga,1HY2Jd0NmPuamShAr6KMms, dancepop pop popdance ,dance,0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992
